SMILES,Density,Tc,Tg
*/C(=C/c1cc(OCCCCCCCCCCCC)c(/C=C(/c2ccc(C#Cc3cc(OCCCCCCCCCCCC)c(C#Cc4ccc(*)cc4)cc3OCCCCCCCCCCCC)cc2)C(F)(F)F)cc1OCCCCCCCCCCCC)C(F)(F)F,,,
*/C(=N/C=C/c1ccc(*)cc1)Oc1ccc(O)cc1,,,
*/C(=N/C[PH](*)(OCCC)[SH]=O)OC(=O)c1ccc(O)cc1,,,
*/C(=N\CCCCCC)N(*)CCCCCC,,,
*/C(=N\c1ccccc1)N(*)c1ccccc1,,,
*/C(Br)=C(/*)c1ccccc1,1.270345591,0.109,
*/C(C#N)=C(/*)c1ccccc1,0.840313538,0.109,
*/C(C#N)=C/C=C(/*)c1ccc(/C=N/c2ccccc2)cc1,,,245.0944000000001
*/C(C)=C(/*)C(C)C,0.742358507,0.320934176,
*/C(C)=C(/*)[Si](C)(C)C(C)C,,,
*/C(C)=C(/*)[Si](C)(C)CCCCCCCC,,,
*/C(C)=C(/*)[Si](C)(C)c1ccccc1,,,
*/C(C)=C(\C)c1cc(OC)c(*)c(OCCCCCCCCCCCC)c1,,,
*/C(Cl)=C(/*)c1ccccc1,1.076752211,0.185906754,
*/C(I)=C(/*)I,,,
*/C(I)=C(/*)c1ccccc1,1.279179363,0.064,
*/C(OC)=C(\OC)c1ccc(*)cc1,1.019187881,0.233,
*/C(SCC)=C(/*)SCC,,,
*/C(c1ccccc1)=c1\cc/c(=c2/cc/c(=C(/c3ccccc3)c3ccc(-c4ccc(*)s4)s3)s2)s1,,,
*/C=C(/*)C,,,
*/C=C(/*)C#Cc1cc(OC)c(OCCCCCC)cc1C(C)C,0.913506,0.241272,191.2959
*/C=C(/*)C(=O)CC,,,
*/C=C(/*)C(=O)c1ccccc1,0.882929733,,
*/C=C(/*)C(C)(C)C,0.776287524,0.284244599,
*/C=C(/*)C(C)(C)C(=O)OCCCCCCOc1ccc(/N=C/c2ccc(C#N)cc2)cc1,,,
*/C=C(/*)C(C)=O,,,
*/C=C(/*)C(Cl)C(C)(C)C,,,
*/C=C(/*)CCCCCCCCCCCCCOc1ccc(/N=N/c2ccc(CCCC)cc2)cc1,,,
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)cc1,0.940347256,0.267,
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(OC(=O)c3ccc(OCC(F)CCCCCC)cc3)cc2)cc1,,,
