SMILES,Density
*CC(NC=O)C(c1ccccc1)C(*)(C#N)C(=O)OC,0.993697671
*CCN(*)C(=O)c1ccc(Cl)cc1,1.204037064
*CC(=O)C(*)CNC(=O)/C=C/C,1.056647
*CCCCCCCNC(=O)c1cccc(C(=O)N*)c1,1.064753779
*CCc1cc(Cl)c(*)cc1Cl,1.246431099
*CCN(CCOC(=O)NCCCCCCNC(=O)O*)CCC(=O)Nc1ccc(/N=N/c2ccccc2)cc1,1.114302771
*CCCCOC(=O)CCCCCCCCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.038484737
*CCCC(COC(=O)Nc1ccc(OC(C)=O)cc1)C(=O)O*,1.157689
*/C(C#N)=C(/*)c1ccccc1,0.840313538
*Oc1ccc(C(C)(C)c2ccc(OC(=O)C(*)=O)cc2)cc1,1.119549048
*c1cccc(*)c1N,1.058944211
*CC(*)(C)c1ccc(Br)cc1,1.283043975
*CC(*)c1ccc(COCCO)c(C=O)c1,1.089294
*OC(=O)N(C(*)=O)c1ccc(N(C)C(C)CC)cc1,1.111236
*CCN(*)C(=O)CCCOc1ccc(SC)cc1,1.130756311
*c1ccc2c(c1)Oc1ccc(C3(c4ccc5c(c4)Oc4ccc(*)cc4O5)c4ccccc4-c4ccccc43)cc1O2,0.91471757
*CCCCCCCCCC(=O)NNC(=O)NS(=O)(=O)CCCCOC(=O)c1cccc(C(=O)N*)c1,1.148997
*CCCC#CCOC(=O)c1cc(-c2ccc(N(*)c3ccc(C#N)cc3)cc2)ccc1C,1.100853
*Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,0.989165407
*/C=C(/*)c1ccc(OC)cc1,0.952952219
*CC(C)(CO*)COC(C)(C)C,0.855911
*CCN(*)C(=O)c1ccc(OCC=C)cc1,1.080795033
*Nc1ccc(*)cc1Cl,1.282885823
*c1ccc(-c2ccc(S(=O)(=O)NCCCCCCNS(*)(=O)=O)cc2)cc1,1.226652168
*/C=C(/*)c1ccc(Cl)cc1,1.012168908
*c1ccc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3cc(C(C)(C)C)ccc3-c3ccc(C(C)(C)C)cc32)cc1,0.977851312
*CCCCCCN(CC)C(=O)c1ccc(C(=O)N(*)CC)cc1,0.988101229
*CCCCCCCCOc1ccc(C(=O)OCCN(CC)c2ccc(C(C)(Cl)c3ccc(O*)cc3)cc2)cc1,1.068111
*CC(*)C(=O)OCCCCCCCCCCOc1ccccc1C(=O)O,1.027192126
*CCCCCCCCCCCCNC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,1.028987551
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1.214181979
*c1cc(OCC)c(*)cc1OC,0.903468314
*CCCCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,1.056703332
*CC(COc1ccccc1C)O*,1.068860019
*CCN(CCOC(=O)NCCCCCCNC(=O)O*)c1ccc(/N=N/c2ccccc2)cc1,1.102120471
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)cc1,0.940347256
*OC(=O)NNC(=O)CC(=O)NC(C(=O)OCC(C)(C)C)C(*)COC(F)(F)F,1.218064
*CCCCCCNC(=O)Cc1ccc(CCCCCCCCOc2ccc(C(=O)O*)cc2)cc1,1.009314
*/N=N/c1ccc(-c2ccc(*)c(C)c2)cc1C,1.021202869
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)OC(=O)c3ccccc32)cc1,1.172221504
*/C=C(/*)c1ccccc1,0.746789572
*c1cccc(-c2cc(CCCCCCCCCCCCCCCC)cc(*)c2N)c1N,0.912752497
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,1.063575985
*CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N*)c1,1.001096798
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCC(=O)N*)cc1,0.967137289
*Nc1cc(*)ccc1N,1.205910253
*Cc1c(C)c(C)c(CSC(=O)CCCCCCC(=O)S*)c(C)c1C,1.015255128
*CCS/C(=N\c1ccccc1)S*,1.199436862
*Oc1cccc(OC(=O)c2cccc(OC(=O)c3ccc(C(*)=O)cc3)c2)c1O,1.244143
*Cc1ccc(COC(=O)CCCCCCCCCCCCCCCCCCC(=O)O*)cc1,0.947319595
*/C=C/c1cc(OC(C)C)c(*)cc1OC,0.895670479
*Nc1ccc(-c2ccc(*)cc2)c(OC)c1,1.081858951
*c1ccc(N(*)CCCCCCCCCCCC)cc1,0.895382151
*Oc1ccccc1CNC(=O)NCCCCCCNC(*)=O,1.114771362
*CCCCCCCCCCCCCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,0.96936753
