SMILES,Density
c1ccc(C(C(C*)NC=O)C(*)(C#N)C(=O)OC)cc1,0.993697671
*CC(NC=O)C(c1ccccc1)C(*)(C#N)C(=O)OC,0.993697671
C(*)(C#N)(C(=O)OC)C(c1ccccc1)C(C*)NC=O,0.993697671
C(=O)NC(C*)C(c1ccccc1)C(*)(C#N)C(=O)OC,0.993697671
c1cccc(C(C(C*)NC=O)C(*)(C#N)C(=O)OC)c1,0.993697671
*CCN(*)C(=O)c1ccc(Cl)cc1,1.204037064
Clc1ccc(C(=O)N(*)CC*)cc1,1.204037064
C(*)CN(*)C(=O)c1ccc(Cl)cc1,1.204037064
c1(Cl)ccc(C(=O)N(*)CC*)cc1,1.204037064
C(C*)N(*)C(=O)c1ccc(Cl)cc1,1.204037064
C(*)(CNC(=O)/C=C/C)C(=O)C*,1.056647
C(=C\C)/C(=O)NCC(*)C(=O)C*,1.056647
*CC(=O)C(*)CNC(=O)/C=C/C,1.056647
C(*)C(=O)C(*)CNC(=O)/C=C/C,1.056647
C(=O)(C*)C(*)CNC(=O)/C=C/C,1.056647
N(CCCCCCC*)C(=O)c1cccc(C(=O)N*)c1,1.064753779
*CCCCCCCNC(=O)c1cccc(C(=O)N*)c1,1.064753779
c1ccc(C(=O)NCCCCCCC*)cc1C(=O)N*,1.064753779
C(=O)(NCCCCCCC*)c1cccc(C(=O)N*)c1,1.064753779
c1ccc(C(=O)N*)cc1C(=O)NCCCCCCC*,1.064753779
C(C*)c1cc(Cl)c(*)cc1Cl,1.246431099
C(*)Cc1cc(Cl)c(*)cc1Cl,1.246431099
c1(Cl)cc(*)c(Cl)cc1CC*,1.246431099
*CCc1cc(Cl)c(*)cc1Cl,1.246431099
c1(CC*)cc(Cl)c(*)cc1Cl,1.246431099
C(C*)N(CCOC(=O)NCCCCCCNC(=O)O*)CCC(=O)Nc1ccc(/N=N/c2ccccc2)cc1,1.114302771
N(CCCCCCNC(=O)OCCN(CC*)CCC(=O)Nc1ccc(/N=N/c2ccccc2)cc1)C(=O)O*,1.114302771
c1cc(NC(=O)CCN(CC*)CCOC(=O)NCCCCCCNC(=O)O*)ccc1/N=N/c1ccccc1,1.114302771
*CCN(CCOC(=O)NCCCCCCNC(=O)O*)CCC(=O)Nc1ccc(/N=N/c2ccccc2)cc1,1.114302771
c1cc(/N=N/c2ccccc2)ccc1NC(=O)CCN(CC*)CCOC(=O)NCCCCCCNC(=O)O*,1.114302771
C(C*)CCOC(=O)CCCCCCCCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.038484737
*CCCCOC(=O)CCCCCCCCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.038484737
c1(C(=O)OCCCCOC(=O)CCCCCCCCCCC(=O)OCCCC*)ccc(C(=O)O*)cc1,1.038484737
C(CCCCCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)O*)cc1)CCC(=O)OCCCC*,1.038484737
C(CCCOC(=O)c1ccc(C(=O)O*)cc1)OC(=O)CCCCCCCCCCC(=O)OCCCC*,1.038484737
*OC(=O)C(CCC*)COC(=O)Nc1ccc(OC(C)=O)cc1,1.157689
C(CCC*)(COC(=O)Nc1ccc(OC(C)=O)cc1)C(=O)O*,1.157689
c1(OC(C)=O)ccc(NC(=O)OCC(CCC*)C(=O)O*)cc1,1.157689
*CCCC(COC(=O)Nc1ccc(OC(C)=O)cc1)C(=O)O*,1.157689
c1cc(OC(C)=O)ccc1NC(=O)OCC(CCC*)C(=O)O*,1.157689
c1cccc(/C(*)=C(\*)C#N)c1,0.840313538
C(/*)(=C(\*)C#N)c1ccccc1,0.840313538
c1ccc(/C(*)=C(\*)C#N)cc1,0.840313538
*/C(C#N)=C(/*)c1ccccc1,0.840313538
*/C(=C(/*)C#N)c1ccccc1,0.840313538
CC(C)(c1ccc(O*)cc1)c1ccc(OC(=O)C(*)=O)cc1,1.119549048
c1cc(O*)ccc1C(C)(C)c1ccc(OC(=O)C(*)=O)cc1,1.119549048
c1cc(OC(=O)C(*)=O)ccc1C(C)(C)c1ccc(O*)cc1,1.119549048
*C(=O)C(=O)Oc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1.119549048
*Oc1ccc(C(C)(C)c2ccc(OC(=O)C(*)=O)cc2)cc1,1.119549048
c1(*)cccc(*)c1N,1.058944211
*c1cccc(*)c1N,1.058944211
Nc1c(*)cccc1*,1.058944211
c1ccc(*)c(N)c1*,1.058944211
c1(N)c(*)cccc1*,1.058944211
c1cc(C(*)(C)C*)ccc1Br,1.283043975
c1(C(*)(C)C*)ccc(Br)cc1,1.283043975
*CC(*)(C)c1ccc(Br)cc1,1.283043975
c1cc(Br)ccc1C(*)(C)C*,1.283043975
C(*)(C)(C*)c1ccc(Br)cc1,1.283043975
C(CO)OCc1ccc(C(*)C*)cc1C=O,1.089294
c1cc(COCCO)c(C=O)cc1C(*)C*,1.089294
OCCOCc1ccc(C(*)C*)cc1C=O,1.089294
O=Cc1cc(C(*)C*)ccc1COCCO,1.089294
*CC(*)c1ccc(COCCO)c(C=O)c1,1.089294
N(C)(c1ccc(N(C(*)=O)C(=O)O*)cc1)C(C)CC,1.111236
CN(c1ccc(N(C(*)=O)C(=O)O*)cc1)C(C)CC,1.111236
*OC(=O)N(C(*)=O)c1ccc(N(C)C(C)CC)cc1,1.111236
c1cc(N(C(*)=O)C(=O)O*)ccc1N(C)C(C)CC,1.111236
O=C(O*)N(C(*)=O)c1ccc(N(C)C(C)CC)cc1,1.111236
C(CCC(=O)N(*)CC*)Oc1ccc(SC)cc1,1.130756311
c1(SC)ccc(OCCCC(=O)N(*)CC*)cc1,1.130756311
O=C(CCCOc1ccc(SC)cc1)N(*)CC*,1.130756311
CSc1ccc(OCCCC(=O)N(*)CC*)cc1,1.130756311
*CCN(*)C(=O)CCCOc1ccc(SC)cc1,1.130756311
*c1ccc2c(c1)Oc1ccc(C3(c4ccc5c(c4)Oc4ccc(*)cc4O5)c4ccccc4-c4ccccc43)cc1O2,0.91471757
c1cc(*)cc2c1Oc1cc(C3(c4ccc5c(c4)Oc4ccc(*)cc4O5)c4ccccc4-c4ccccc43)ccc1O2,0.91471757
c1ccc2c(c1)-c1ccccc1C2(c1ccc2c(c1)Oc1ccc(*)cc1O2)c1ccc2c(c1)Oc1ccc(*)cc1O2,0.91471757
c1cc2c(cc1*)Oc1ccc(C3(c4ccc5c(c4)Oc4ccc(*)cc4O5)c4ccccc4-c4ccccc43)cc1O2,0.91471757
c12ccc(C3(c4ccc5c(c4)Oc4ccc(*)cc4O5)c4ccccc4-c4ccccc43)cc1Oc1ccc(*)cc1O2,0.91471757
C(*)CCCCCCCCC(=O)NNC(=O)NS(=O)(=O)CCCCOC(=O)c1cccc(C(=O)N*)c1,1.148997
N(NC(=O)NS(=O)(=O)CCCCOC(=O)c1cccc(C(=O)N*)c1)C(=O)CCCCCCCCC*,1.148997
O=C(OCCCCS(=O)(=O)NC(=O)NNC(=O)CCCCCCCCC*)c1cccc(C(=O)N*)c1,1.148997
*CCCCCCCCCC(=O)NNC(=O)NS(=O)(=O)CCCCOC(=O)c1cccc(C(=O)N*)c1,1.148997
C(CCC*)CCCCCC(=O)NNC(=O)NS(=O)(=O)CCCCOC(=O)c1cccc(C(=O)N*)c1,1.148997
c1(N(*)c2ccc(-c3ccc(C)c(C(=O)OCC#CCCC*)c3)cc2)ccc(C#N)cc1,1.100853
N#Cc1ccc(N(*)c2ccc(-c3ccc(C)c(C(=O)OCC#CCCC*)c3)cc2)cc1,1.100853
*CCCC#CCOC(=O)c1cc(-c2ccc(N(*)c3ccc(C#N)cc3)cc2)ccc1C,1.100853
C(C#CCCC*)OC(=O)c1cc(-c2ccc(N(*)c3ccc(C#N)cc3)cc2)ccc1C,1.100853
C(=O)(OCC#CCCC*)c1cc(-c2ccc(N(*)c3ccc(C#N)cc3)cc2)ccc1C,1.100853
C(CCCCCCCCC(=O)N*)CCCC(=O)NCc1ccc(C*)cc1,0.989165407
C(NC(=O)CCCCCCCCCCCCC(=O)N*)c1ccc(C*)cc1,0.989165407
C(=O)(CCCCCCCCCCCCC(=O)N*)NCc1ccc(C*)cc1,0.989165407
*Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,0.989165407
N(*)C(=O)CCCCCCCCCCCCC(=O)NCc1ccc(C*)cc1,0.989165407
c1cc(/C(*)=C\*)ccc1OC,0.952952219
c1(OC)ccc(/C(*)=C\*)cc1,0.952952219
COc1ccc(/C(*)=C\*)cc1,0.952952219
O(C)c1ccc(/C(*)=C\*)cc1,0.952952219
*/C=C(/*)c1ccc(OC)cc1,0.952952219
*CC(C)(CO*)COC(C)(C)C,0.855911
C(O*)C(C)(C*)COC(C)(C)C,0.855911
CC(C)(C)OCC(C)(C*)CO*,0.855911
*OCC(C)(C*)COC(C)(C)C,0.855911
C(C)(C)(C)OCC(C)(C*)CO*,0.855911
*CCN(*)C(=O)c1ccc(OCC=C)cc1,1.080795033
c1cc(C(=O)N(*)CC*)ccc1OCC=C,1.080795033
c1cc(OCC=C)ccc1C(=O)N(*)CC*,1.080795033
c1(OCC=C)ccc(C(=O)N(*)CC*)cc1,1.080795033
*N(CC*)C(=O)c1ccc(OCC=C)cc1,1.080795033
*Nc1ccc(*)cc1Cl,1.282885823
*c1ccc(N*)c(Cl)c1,1.282885823
N(*)c1ccc(*)cc1Cl,1.282885823
c1(N*)ccc(*)cc1Cl,1.282885823
c1c(*)ccc(N*)c1Cl,1.282885823
*c1ccc(-c2ccc(S(=O)(=O)NCCCCCCNS(*)(=O)=O)cc2)cc1,1.226652168
O=S(*)(=O)NCCCCCCNS(=O)(=O)c1ccc(-c2ccc(*)cc2)cc1,1.226652168
c1(-c2ccc(*)cc2)ccc(S(=O)(=O)NCCCCCCNS(*)(=O)=O)cc1,1.226652168
C(CCCNS(=O)(=O)c1ccc(-c2ccc(*)cc2)cc1)CCNS(*)(=O)=O,1.226652168
C(CCCNS(*)(=O)=O)CCNS(=O)(=O)c1ccc(-c2ccc(*)cc2)cc1,1.226652168
c1cc(Cl)ccc1/C(*)=C\*,1.012168908
Clc1ccc(/C(*)=C\*)cc1,1.012168908
c1(Cl)ccc(/C(*)=C\*)cc1,1.012168908
