SMILES,Density
*CC(=O)C(*)c1cccc(C)c1,1.012241588
c1cc(C)cc(C(*)C(=O)C*)c1,1.012241588
C(*)(C(=O)C*)c1cccc(C)c1,1.012241588
c1ccc(C(*)C(=O)C*)cc1C,1.012241588
O=C(C*)C(*)c1cccc(C)c1,1.012241588
C(CCOC(=O)c1ccccc1C(*)=O)S(=O)(=O)CCCCOC(=O)NCC(=O)O*,1.256179
C(*)(=O)c1ccccc1C(=O)OCCCS(=O)(=O)CCCCOC(=O)NCC(=O)O*,1.256179
*OC(=O)CNC(=O)OCCCCS(=O)(=O)CCCOC(=O)c1ccccc1C(*)=O,1.256179
C(CCCOC(=O)NCC(=O)O*)S(=O)(=O)CCCOC(=O)c1ccccc1C(*)=O,1.256179
C(=O)(CNC(=O)OCCCCS(=O)(=O)CCCOC(=O)c1ccccc1C(*)=O)O*,1.256179
*/C(I)=C(/*)c1ccccc1,1.279179363
c1ccccc1/C(*)=C(\*)I,1.279179363
C(/*)(=C(\*)I)c1ccccc1,1.279179363
c1cccc(/C(*)=C(\*)I)c1,1.279179363
C(/*)(I)=C(\*)c1ccccc1,1.279179363
C(=O)(c1ccc(C(=O)N(C)CCCC*)cc1)N(*)C,1.058405553
CN(CCCC*)C(=O)c1ccc(C(=O)N(*)C)cc1,1.058405553
*CCCCN(C)C(=O)c1ccc(C(=O)N(*)C)cc1,1.058405553
c1cc(C(=O)N(*)C)ccc1C(=O)N(C)CCCC*,1.058405553
O=C(c1ccc(C(=O)N(*)C)cc1)N(C)CCCC*,1.058405553
*CC(*)(CC)C(=O)OCC(OCC(C)C)C(=O)OCC(CC)OC,0.9908
CCC(COC(=O)C(COC(=O)C(*)(C*)CC)OCC(C)C)OC,0.9908
O(CC(CC)OC)C(=O)C(COC(=O)C(*)(C*)CC)OCC(C)C,0.9908
C(C)C(COC(=O)C(COC(=O)C(*)(C*)CC)OCC(C)C)OC,0.9908
CCC(*)(C*)C(=O)OCC(OCC(C)C)C(=O)OCC(CC)OC,0.9908
c1cc(C(=O)O*)ccc1-c1ccc(C(=O)OCCC*)cc1,1.16511198
O(CCC*)C(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.16511198
C(C*)COC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.16511198
c1cc(-c2ccc(C(=O)O*)cc2)ccc1C(=O)OCCC*,1.16511198
*CCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.16511198
C(*)C(*)OCCN(C)CC,0.928322
C(*)(C*)OCCN(C)CC,0.928322
CN(CC)CCOC(*)C*,0.928322
*C(C*)OCCN(C)CC,0.928322
*CC(*)OCCN(C)CC,0.928322
C(=O)(NCCCCCCNC(=O)OCCN(CC*)c1ccc(/N=N/c2ccc(C(C)=O)cc2)cc1)O*,1.114311305
C(CCCCCNC(=O)OCCN(CC*)c1ccc(/N=N/c2ccc(C(C)=O)cc2)cc1)NC(=O)O*,1.114311305
*OC(=O)NCCCCCCNC(=O)OCCN(CC*)c1ccc(/N=N/c2ccc(C(C)=O)cc2)cc1,1.114311305
*CCN(CCOC(=O)NCCCCCCNC(=O)O*)c1ccc(/N=N/c2ccc(C(C)=O)cc2)cc1,1.114311305
c1cc(/N=N/c2ccc(N(CC*)CCOC(=O)NCCCCCCNC(=O)O*)cc2)ccc1C(C)=O,1.114311305
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4ccc(*)c(Br)c4)cc3)cc2OC)c(OCCCCCC)c1,1.152433
C(=O)(c1ccc(Oc2ccc(-c3ccc(O*)cc3OCCCCCC)c(OC)c2)cc1)c1ccc(*)c(Br)c1,1.152433
c1cc(C(=O)c2ccc(*)c(Br)c2)ccc1Oc1ccc(-c2ccc(O*)cc2OCCCCCC)c(OC)c1,1.152433
O=C(c1ccc(Oc2ccc(-c3ccc(O*)cc3OCCCCCC)c(OC)c2)cc1)c1ccc(*)c(Br)c1,1.152433
Brc1cc(C(=O)c2ccc(Oc3ccc(-c4ccc(O*)cc4OCCCCCC)c(OC)c3)cc2)ccc1*,1.152433
c1(C(=O)OCC(C)C*)ccc(O*)c(OCCCCCCCCCC)c1,0.96682
*CC(C)COC(=O)c1ccc(O*)c(OCCCCCCCCCC)c1,0.96682
c1c(C(=O)OCC(C)C*)ccc(O*)c1OCCCCCCCCCC,0.96682
C(C)(C*)COC(=O)c1ccc(O*)c(OCCCCCCCCCC)c1,0.96682
CCCCCCCCCCOc1cc(C(=O)OCC(C)C*)ccc1O*,0.96682
C(CCCC*)CC(=O)Nc1nnc(*)n1OCCC,1.01849
*CCCCCCC(=O)Nc1nnc(*)n1OCCC,1.01849
C(CC)On1c(*)nnc1NC(=O)CCCCCC*,1.01849
O(CCC)n1c(*)nnc1NC(=O)CCCCCC*,1.01849
O=C(CCCCCC*)Nc1nnc(*)n1OCCC,1.01849
*CC(*)c1ccc(C(=O)N(CCCC)C(=O)OC)cc1,0.960747
C(*)C(*)c1ccc(C(=O)N(CCCC)C(=O)OC)cc1,0.960747
CCCCN(C(=O)OC)C(=O)c1ccc(C(*)C*)cc1,0.960747
O=C(c1ccc(C(*)C*)cc1)N(CCCC)C(=O)OC,0.960747
C(C)CCN(C(=O)OC)C(=O)c1ccc(C(*)C*)cc1,0.960747
C(*)c1ccc(COC(=O)CCCCCCCCCCC(=O)O*)cc1,1.004809328
c1(C*)ccc(COC(=O)CCCCCCCCCCC(=O)O*)cc1,1.004809328
c1cc(COC(=O)CCCCCCCCCCC(=O)O*)ccc1C*,1.004809328
C(=O)(CCCCCCCCCCC(=O)OCc1ccc(C*)cc1)O*,1.004809328
*Cc1ccc(COC(=O)CCCCCCCCCCC(=O)O*)cc1,1.004809328
c1(OC(=O)CCCCC(*)=O)ccc(C(C)(CC)c2ccc(OCC(O)CO*)cc2)c(Sc2ccccc2)c1,1.086869
c1cc(OCC(O)CO*)ccc1C(C)(CC)c1ccc(OC(=O)CCCCC(*)=O)cc1Sc1ccccc1,1.086869
*OCC(O)COc1ccc(C(C)(CC)c2ccc(OC(=O)CCCCC(*)=O)cc2Sc2ccccc2)cc1,1.086869
S(c1ccccc1)c1cc(OC(=O)CCCCC(*)=O)ccc1C(C)(CC)c1ccc(OCC(O)CO*)cc1,1.086869
c1cccc(Sc2cc(OC(=O)CCCCC(*)=O)ccc2C(C)(CC)c2ccc(OCC(O)CO*)cc2)c1,1.086869
C(CCCCCCCCCCCCC(=O)OCC(C*)C(=O)OCC)C(=O)O*,0.965265
C(CCCCCCCCCCC(=O)O*)CCC(=O)OCC(C*)C(=O)OCC,0.965265
C(OC(=O)CCCCCCCCCCCCCC(=O)O*)C(C*)C(=O)OCC,0.965265
C(=O)(OCC)C(C*)COC(=O)CCCCCCCCCCCCCC(=O)O*,0.965265
*CC(COC(=O)CCCCCCCCCCCCCC(=O)O*)C(=O)OCC,0.965265
c1cc(C(=O)NCCCCCCCCCCCCCC*)ccc1C(=O)N*,0.982367451
C(*)CCCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,0.982367451
*CCCCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,0.982367451
c1cc(C(=O)N*)ccc1C(=O)NCCCCCCCCCCCCCC*,0.982367451
c1(C(=O)N*)ccc(C(=O)NCCCCCCCCCCCCCC*)cc1,0.982367451
*CC(NC(=O)c1ccc(O*)cc1)c1ccc(OC)cc1,1.117112
c1cc(C(=O)NC(C*)c2ccc(OC)cc2)ccc1O*,1.117112
c1(C(C*)NC(=O)c2ccc(O*)cc2)ccc(OC)cc1,1.117112
O=C(NC(C*)c1ccc(OC)cc1)c1ccc(O*)cc1,1.117112
c1cc(C(C*)NC(=O)c2ccc(O*)cc2)ccc1OC,1.117112
N(=N\*)/c1ccc(*)cc1,1.11553603
N(/*)=N\c1ccc(*)cc1,1.11553603
c1(*)ccc(/N=N/*)cc1,1.11553603
c1cc(*)ccc1/N=N/*,1.11553603
*/N=N/c1ccc(*)cc1,1.11553603
c1(OC(=O)CC(*)(C*)C(C)(Cl)Cl)ccccc1,1.225675
C(*)(C*)(CC(=O)Oc1ccccc1)C(C)(Cl)Cl,1.225675
*CC(*)(CC(=O)Oc1ccccc1)C(C)(Cl)Cl,1.225675
c1ccc(OC(=O)CC(*)(C*)C(C)(Cl)Cl)cc1,1.225675
c1ccccc1OC(=O)CC(*)(C*)C(C)(Cl)Cl,1.225675
OC(C*)CN(*)CCOCC(C)C,0.962166
C(C(O)C*)N(*)CCOCC(C)C,0.962166
C(O)(C*)CN(*)CCOCC(C)C,0.962166
*CC(O)CN(*)CCOCC(C)C,0.962166
C(CN(*)CC(O)C*)OCC(C)C,0.962166
c1cccc(C(C*)C(*)OC(C)C)c1,0.865494
c1ccc(C(C*)C(*)OC(C)C)cc1,0.865494
O(C(C)C)C(*)C(C*)c1ccccc1,0.865494
*CC(c1ccccc1)C(*)OC(C)C,0.865494
c1ccccc1C(C*)C(*)OC(C)C,0.865494
*C(=O)Nc1cc(*)ccc1OCCOc1ccc(-c2ccccc2)cc1,1.157821
c1(OCCOc2ccc(*)cc2NC(*)=O)ccc(-c2ccccc2)cc1,1.157821
O(CCOc1ccc(*)cc1NC(*)=O)c1ccc(-c2ccccc2)cc1,1.157821
c1ccc(-c2ccc(OCCOc3ccc(*)cc3NC(*)=O)cc2)cc1,1.157821
C(COc1ccc(*)cc1NC(*)=O)Oc1ccc(-c2ccccc2)cc1,1.157821
FC(F)(C(F)(F)C(Cl)COC(=O)c1ccc(C(=O)O*)cc1)C(F)(F)C(F)(F)C(*)(F)F,1.482837
*OC(=O)c1ccc(C(=O)OCC(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F)cc1,1.482837
ClC(COC(=O)c1ccc(C(=O)O*)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F,1.482837
FC(F)(C(*)(F)F)C(F)(F)C(F)(F)C(F)(F)C(Cl)COC(=O)c1ccc(C(=O)O*)cc1,1.482837
c1cc(C(=O)O*)ccc1C(=O)OCC(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F,1.482837
c1cc(C(=O)OCC*)ccc1Oc1ccc(C(=O)OC(=O)c2ccccc2-c2ccc(O*)c(OC)c2)cc1,1.165863
C(=O)(OC(=O)c1ccc(Oc2ccc(C(=O)OCC*)cc2)cc1)c1ccccc1-c1ccc(O*)c(OC)c1,1.165863
c1cc(O*)c(OC)cc1-c1ccccc1C(=O)OC(=O)c1ccc(Oc2ccc(C(=O)OCC*)cc2)cc1,1.165863
O(CC*)C(=O)c1ccc(Oc2ccc(C(=O)OC(=O)c3ccccc3-c3ccc(O*)c(OC)c3)cc2)cc1,1.165863
*CCOC(=O)c1ccc(Oc2ccc(C(=O)OC(=O)c3ccccc3-c3ccc(O*)c(OC)c3)cc2)cc1,1.165863
CCOC(=O)Nc1cccc(/C=C/C(=O)Oc2ccc(-c3ccc(O*)cc3C(*)=O)cc2)c1,1.153872
c1c(O*)ccc(-c2ccc(OC(=O)/C=C/c3cccc(NC(=O)OCC)c3)cc2)c1C(*)=O,1.153872
*Oc1ccc(-c2ccc(OC(=O)/C=C/c3cccc(NC(=O)OCC)c3)cc2)c(C(*)=O)c1,1.153872
c1(NC(=O)OCC)cccc(/C=C/C(=O)Oc2ccc(-c3ccc(O*)cc3C(*)=O)cc2)c1,1.153872
c1cc(OC(=O)/C=C/c2cccc(NC(=O)OCC)c2)ccc1-c1ccc(O*)cc1C(*)=O,1.153872
C(=O)(OCCCCCCCCOC(=O)C(C)(C)CC(=O)OCCCCCCCC*)c1ccc(C(=O)Nc2ccc(C(=O)O*)cc2)cc1,1.049554
